lat,long,min_temp,max_temp,elevation,isothermality,mean_temp,precip,seasonal_temp,pred_cluster,species,community,new,province,genus
43.291,-8.494,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.291,-8.494",A Coru�a,Lissotriton
43.26,-8.48,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.26,-8.48",A Coru�a,Lissotriton
43.352,-8.479,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.352,-8.479",A Coru�a,Lissotriton
43.273,-8.51,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.273,-8.51",A Coru�a,Lissotriton
43.289,-8.491,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Triturus marmoratus,Galicia,"43.289,-8.491",A Coru�a,Triturus
43.26,-8.479,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Triturus marmoratus,Galicia,"43.26,-8.479",A Coru�a,Triturus
43.25,-8.6,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Salamandra salamandra,Galicia,"43.25,-8.6",A Coru�a,Salamandra
43.308,-8.577,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.308,-8.577",A Coru�a,Lissotriton
43.25,-8.5,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Salamandra salamandra,Galicia,"43.25,-8.5",A Coru�a,Salamandra
43.335,-8.457,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.335,-8.457",A Coru�a,Lissotriton
43.335,-8.456,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.335,-8.456",A Coru�a,Lissotriton
43.25,-8.55,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Salamandra salamandra,Galicia,"43.25,-8.55",A Coru�a,Salamandra
43.278,-8.488,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.278,-8.488",A Coru�a,Lissotriton
43.288,-8.48,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Discoglossus galganoi,Galicia,"43.288,-8.48",A Coru�a,Discoglossus
43.261,-8.479,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.261,-8.479",A Coru�a,Lissotriton
43.312,-8.457,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.312,-8.457",A Coru�a,Lissotriton
43.319,-8.455,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Triturus marmoratus,Galicia,"43.319,-8.455",A Coru�a,Triturus
43.285,-8.445,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.285,-8.445",A Coru�a,Lissotriton
43.281,-8.443,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.281,-8.443",A Coru�a,Lissotriton
43.296,-8.6,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.296,-8.6",A Coru�a,Lissotriton
43.274,-8.583,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Salamandra salamandra,Galicia,"43.274,-8.583",A Coru�a,Salamandra
43.288,-8.57,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Salamandra salamandra,Galicia,"43.288,-8.57",A Coru�a,Salamandra
43.313,-8.529,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.313,-8.529",A Coru�a,Lissotriton
43.301,-8.513,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Bufo spinosus,Galicia,"43.301,-8.513",A Coru�a,Bufo
43.3,-8.512,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Bufo spinosus,Galicia,"43.3,-8.512",A Coru�a,Bufo
43.3,-8.5,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Salamandra salamandra,Galicia,"43.3,-8.5",A Coru�a,Salamandra
43.291,-8.492,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Triturus marmoratus,Galicia,"43.291,-8.492",A Coru�a,Triturus
43.328,-8.492,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Bufo spinosus,Galicia,"43.328,-8.492",A Coru�a,Bufo
43.3,-8.45,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Salamandra salamandra,Galicia,"43.3,-8.45",A Coru�a,Salamandra
28.417,-13.888,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,2,Alectoris barbara,Galicia,"28.417,-13.888",Las Palmas,Alectoris
43.254,-8.215,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.254,-8.215",A Coru�a,Lissotriton
43.254,-8.214,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.254,-8.214",A Coru�a,Lissotriton
43.25,-8.25,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Salamandra salamandra,Galicia,"43.25,-8.25",A Coru�a,Salamandra
43.254,-8.213,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"43.254,-8.213",A Coru�a,Lissotriton
43.261,-8.223,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Salamandra salamandra,Galicia,"43.261,-8.223",A Coru�a,Salamandra
43.258,-8.223,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Salamandra salamandra,Galicia,"43.258,-8.223",A Coru�a,Salamandra
43.26,-8.22,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Salamandra salamandra,Galicia,"43.26,-8.22",A Coru�a,Salamandra
43.259,-8.215,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Salamandra salamandra,Galicia,"43.259,-8.215",A Coru�a,Salamandra
